speed,1*4,1*10,1*50,3*70,5*100,10*100,100*100,500*500,3000*3000,5000*5000,average
mdvector,33.3333,49.3827,57.1429,59.2593,59.7015,59.7015,59.2593,33.0579,15.9363,15.7791,44.2554
eigen,16.8421,28.4698,51.9481,57.554,59.7015,59.7015,59.7015,33.4728,14.3369,14.3627,39.6091
simd 1d,23.7389,42.328,46.7836,36.3636,34.7826,33.8983,27.027,13.6752,5.90406,5.81818,27.032
transform,13.8169,15.6556,52.9801,38.0952,39.2157,38.4615,27.1186,13.6752,5.97907,5.80131,25.0799
expr,21.978,21.6216,21.5054,21.0526,21.1082,21.1082,19.9501,19.0476,15.5945,15.3551,19.8321
valarr,0.776398,1.70831,5.92154,10.6242,12.2324,12.3648,8.81057,2.6729,1.9685,1.9517,5.90313
** 2d,28.8809,29.1971,29.4118,29.4118,29.5203,29.4118,29.4118,25.89,16.6667,16.7015,26.4503
vector,15.2381,15.5642,15.3846,15.6863,14.6252,15.2381,14.5455,13.4228,13.0933,13.1363,14.5934
xtensor,1.58259,3.58262,11.8871,21.5633,25.3165,26.8456,28.777,28.2686,17.2414,17.2043,18.2269
xarray,0.767092,1.83655,7.28597,17.0213,22.2222,25,28.3688,28.3688,17.5439,16.9492,16.5364
